Not normalized,,
desc_0.5,Autoimmune,Tumor
0,998,1863
1,135,1603
2,1150,1424
3,794,1201
4,371,2454
5,461,1415
6,635,2204
Normalized by row,,
desc_0.5,Autoimmune,Tumor
0,21.96302817,15.31568563
1,2.970950704,13.17823085
2,25.30809859,11.70667544
3,17.47359155,9.873396909
4,8.164612676,20.17428477
5,10.14524648,11.63268662
6,13.97447183,18.11903979
Normalized by column,,
desc_0.5,Autoimmune,Tumor
0,34.88290807,65.11709193
1,7.767548907,92.23245109
2,44.67754468,55.32245532
3,39.79949875,60.20050125
4,13.13274336,86.86725664
5,24.57356077,75.42643923
6,22.36703064,77.63296936